IdProducto;IdCategoria;IdProveedor;IdFormaDePago;Producto;Marca;Descripcion;Precio
1;1;1;2;CEMENTO;Holcim;Bolsa de 50 kg;4816
2;1;2;2;CAL;El Milagro;Bolsa de 25 kg;24019
3;1;4;1;ARENA;Sin marca;Arena por m3;26413
4;1;3;2;LADRILLO PALMAR 20;Palmar;Ladrillo cerámico de 20 cm;28575
5;1;3;2;LADRILLO PALMAR 15;Palmar;Ladrillo cerámico de 15 cm;16860
6;1;4;1;LADRILLO COMÚN 12;Sin marca;Ladrillo de arcilla de 12 cm;18604
7;1;4;1;LADRILLO COMÚN 17;Sin marca;Ladrillo de arcilla de 17 cm;20800
8;1;3;1;VIGUETAS;Palmar;Vigueta de hormigón de 2 mts;18115
9;1;5;2;HIERRO 6;Acindar;Hierro acindar de 6 mm;28070
10;1;5;2;HIERRO 8;Acindar;Hierro acindar de 8 mm;13300
11;1;5;2;HIERRO 12;Acindar;Hierro acindar de 12 mm;8719
12;1;5;2;HIERRO 16;Acindar;Hierro acindar de 16 mm;13419
13;1;4;1;PIEDRA;Sin marca;Piedra por m3;13985
14;1;4;1;RELLENO 0.20;Sin marca;Relleno mix de tierra y piedra;14364
15;1;7;3;TEJA CURVA;Framar;Teja curva tipo colonial;10524
16;1;7;3;TEJA PLANA;Framar;Teja plana tipo moderno;12187
17;1;1;2;PALLET CEMENTO;Holcim;Pallet de 40 bolsas;7780
18;1;1;2;HORMIGÓN ELABORADO;Holcim;Camión de 6 m3;376
19;1;1;2;HORMIGÓN ELABORADO;Holcim;Camión de 12 m3;8765
20;2;8;5;LISTON CEPILLADO;Maderas de misiones;Liston cepillado mdf x m2;8203
21;2;8;1;LISTON EN BRUTO;Maderas de misiones;Liston en bruto mdf x m2;9731
22;2;9;5;TABIQUE CALADO;Faplac;Tabique de eucaliptus 1 mt;8868
23;2;10;3;PARQUET;Industriaparket;Parquet premium;629
24;2;8;1;TARIMA;Sin marca;Tarima de madera común;2133
25;2;9;8;PERFIL DE ACABADO;Faplac;Perfil para detalles de eucaliptus x 1 mt;5598
26;2;11;4;PUERTA DE ARMARIO;Rehau;Puerta enchapada 2 mts;2795
27;2;8;6;CAJONERA;Maderas de misiones;Cajon de enchapado;3910
28;2;9;7;MOLDURA PARED;Faplac;Moldura de mdf recto;796
29;2;9;3;MOLDURA ÁNGULO;Faplac;Moldura de mdf ángulo 90;6176
30;3;14;3;TERMICA BIPOLAR EASY9 2*16 AMP;Schneider;Térmica bipolar de 16 amperes;17799
31;3;14;7;TERMICA BIPOLAR EASY9 2*20 AMP;Schneider;Térmica bipolar de 20 amperes;7073
32;3;14;7;TERMICA BIPOLAR EASY9 2*25 AMP;Schneider;Térmica bipolar de 25 amperes;23079
33;3;13;7;DISYUNTOR DIF SCHNEIDER EASY9 4*40 AMP 30 MA;Schneider;Disyuntor Schneider de 40 amperes;11219
34;3;12;5;TECLASTAR 2 TOMA S/TAPA;Teclastar;Toma doble;3102
35;3;12;4;TECLASTAR 1 TOMA S/TAPA;Teclastar;Toma simple;10570
36;3;12;2;TECLASTAR 1 PTO Y TOMA S/TAPA;Teclastar;Toma punto simple;23787
37;3;12;1;TECLASTAR 1 PTO S/NEON S/TAPA;Teclastar;Toma punto;19991
38;3;12;2;CABLE UNIPOLAR MH 2.5MM X METRO;MH;Cable unipolar de 2.5 mm x mt;5975
39;3;12;3;CABLE UNIPOLAR MH 4MM X METRO;MH;Cable unipolar de 4.0 mm x mt;17706
40;3;13;8;CORRUGADO ANTILLAMA BCO STRADA 7/8 ROLLO;Strada;Cable corrugado antillama blanco;14375
41;3;13;3;CAJA TERMICA EMB 12 MOD GEN ROD COD 04012;Genrod;Caja térmica genrod para 12 térmicas;3473
42;3;13;1;TECLASTAR TAPA QUADRA;Teclastar;Tapa de toma;6341
43;3;13;8;CABLE SUBT MH 5X6;MH;Cable subterránea de 5x6 con recubrimiento;20339
44;4;15;5;ATORNILLADOR ELÉCTRICO BATERÍA LITIO;Einhell;Atornillador eléctrico con batería de litio;205663
45;4;15;7;TALADRO ELÉCTRICO STHIL;Stihl;Taladro eléctrico con cable;753150
46;4;15;2;"SIERRA DE BANCO PROFESIONAL 10""";Stanley;"Sierra de banco profesional 10"" 1800w";635598
47;4;15;3;MOTOSIERRA MS 361;Stihl;Motosierra a cadena y combustión de 36 cms;471752
48;4;15;8;PALA DE PUNTA;Gherardi;Pala de punta con mango de madera;357015
49;4;15;2;PALA ANCHA;Biassoni;Pala ancha con mango de madera;862429
50;4;15;2;PICO;Gherardi;Pico con cabo de madera 90 cms;322680
51;4;15;3;HACHA DE MANO;Harden;Hacha de mano con mango de madera;74514
52;4;15;3;DESMALEZADORA A COMBUSTIÓN FS161;Sthil;Desmalezadora semiprofesional forestal;834608
53;4;15;7;TIJERA DE JARDINERO BYPASS PG 10;Stihl;Tijera de poder bypass para mantenimiento de jardín;821485
54;4;15;3;TIJERA DE JARDINERO BYPASS PG 20;Stihl;Tijera de poder bypass para mantenimiento de jardín;424166
55;4;15;2;TIJERA DE JARDINERO BYPASS PG 25;Stihl;Tijera de poder bypass para mantenimiento de jardín;137708
56;4;15;2;TIJERA DE JARDINERO BYPASS PG 30;Stihl;Tijera de poder bypass para mantenimiento de jardín;508896
